,id,Machine Failure,Probability
0,136429,0,0.0024549195810301427
1,136430,0,0.001211025361696059
2,136431,0,0.0029890286422134507
3,136432,0,0.0034033724836674568
4,136433,0,0.004261045945959658
5,136434,0,0.0030170798021707723
6,136435,0,0.004342403272903032
7,136436,0,0.0055635688782069235
8,136437,0,0.0011524435786743866
9,136438,0,0.0013634342273617082
10,136439,0,0.002775119633832413
11,136440,0,0.002434390626430834
12,136441,0,0.0013539016504959128
13,136442,0,0.0020829638456473123
14,136443,0,0.0024388516047258945
15,136444,0,0.006172582204281635
16,136445,0,0.001179741063894667
17,136446,1,0.9928966382988971
18,136447,0,0.0027178440997753144
19,136448,0,0.0021608324772041418
20,136449,0,0.006198013486195232
21,136450,0,0.004547395846704696
22,136451,0,0.02252928383253444
23,136452,0,0.024234151440499275
24,136453,0,0.00439044328218701
25,136454,0,0.0017342275259909566
26,136455,0,0.0020418451156865797
27,136456,0,0.008199036662133579
28,136457,0,0.007244515007819952
29,136458,0,0.005432544124128574
30,136459,0,0.004061033791297213
31,136460,0,0.0031735914627992164
32,136461,0,0.001378377915172207
33,136462,0,0.019640635140336773
34,136463,0,0.0019927603229559585
35,136464,0,0.003735287806190583
36,136465,0,0.0017048733009171141
37,136466,0,0.002169033222559573
38,136467,0,0.0014263620834184109
39,136468,0,0.0031884641522657675
40,136469,0,0.001541452935945736
41,136470,0,0.003149999424619987
42,136471,0,0.00988832515139599
43,136472,0,0.007906720728302223
44,136473,0,0.0026525035681678067
45,136474,0,0.0027119956798551757
46,136475,0,0.0034770210505083938
47,136476,0,0.006103859439289983
48,136477,0,0.0027287139474990343
49,136478,0,0.0023472923280026836
50,136479,0,0.0014907627797923477
51,136480,0,0.0073109032677970386
52,136481,0,0.0026438707099039433
53,136482,0,0.03606541751675777
54,136483,0,0.0034635789891336376
55,136484,0,0.0011592535414380615
56,136485,0,0.0016138017243535936
57,136486,0,0.002779353023864181
58,136487,0,0.0016491728708640737
59,136488,0,0.004739398689591313
