PassengerId,Survived_pred,Survived_prob
892,0,0.11066750873854776
893,1,0.6003035957359802
894,0,0.20310920709235605
895,0,0.11071171516865254
896,1,0.600987115377188
897,0,0.11074156444215873
898,1,0.6003849534922391
899,0,0.20479898983858916
900,1,0.6003332327370583
901,0,0.11153614212815834
902,0,0.11067104128945139
903,0,0.3447455191605453
904,1,0.9153710329696564
905,0,0.20453581612692565
906,1,0.9144863202567154
907,1,0.7565510335923826
908,0,0.20334154862440057
909,0,0.11063546569244072
910,1,0.600423199551059
911,1,0.6003326896572577
912,0,0.3488229118471393
913,0,0.11042066597547646
914,1,0.8643574971923014
915,0,0.3490652309369439
916,1,0.9276091867059023
917,0,0.11102182727437945
918,1,0.9145202064434165
919,0,0.11063546569244072
920,0,0.46556380148049575
921,0,0.11140425811191793
922,0,0.20453581612692565
923,0,0.20501849325177024
924,1,0.6020576553781881
925,1,0.6024288068344985
926,0,0.3976253969351069
927,0,0.1106356884065269
928,1,0.6004393613106467
929,1,0.6005185507706776
930,0,0.1107561599843885
931,0,0.11327529166425504
932,0,0.11096422051769364
933,0,0.46503418193243345
934,0,0.11066861198708691
935,1,0.7550868890492259
936,1,0.9421692090214429
937,0,0.11067259012668533
938,0,0.46545653045258795
939,0,0.11066330799571235
940,1,0.9151212522917533
941,1,0.6014538803529703
942,0,0.4695215628227834
943,0,0.20357590546596932
944,1,0.7560821458006096
945,1,0.9033739960942917
946,0,0.20362360845250158
947,0,0.11180210720175304
948,0,0.11067104128945139
949,0,0.1502688220999968
950,0,0.11110695851279151
951,1,0.9225934120033698
952,0,0.11067104128945139
953,0,0.20344196390678343
954,0,0.11066330799571235
955,1,0.6003973402808984
956,1,0.5148489076036518
957,1,0.7558833138132302
958,1,0.6004172778276059
959,0,0.3467447816834597
960,0,0.4653006579376038
961,1,0.9033739960942917
962,1,0.6004005727202778
963,0,0.11067104128945139
964,1,0.600423199551059
965,0,0.4651911556807563
966,1,0.920612567763477
967,0,0.48989667710459156
968,0,0.11067922063758091
969,1,0.9191196555391342
970,0,0.20339830055215116
971,1,0.6004005727202778
972,0,0.11106150196811068
973,0,0.4912811007150306
974,0,0.3447455191605453
975,0,0.11067104128945139
976,0,0.2031982632280696
977,0,0.11101939123325878
978,1,0.6004172778276059
979,1,0.6004393613106467
980,1,0.6004005727202778
981,0,0.20427289372824917
982,1,0.6011954864863511
983,0,0.11066463397268952
984,1,0.8795265715045675
985,0,0.11067922063758091
986,0,0.3447455191605453
987,0,0.11066573719613616
988,1,0.8807628000740847
989,0,0.11067259012668533
990,1,0.6004140454334235
991,0,0.11067922063758091
992,1,0.9142443859181513
993,0,0.20453581612692565
994,0,0.11066330799571235
995,0,0.11066463397268952
996,1,0.6004997009233797
997,0,0.11144938906059372
998,0,0.11066706319859823
999,0,0.11066330799571235
1000,0,0.1107143681521465
1001,0,0.2966378526982949
1002,0,0.2035769976742973
1003,1,0.6004043481984007
1004,1,0.9132350287741943
1005,1,0.600340228100057
1006,1,0.9210164920338921
1007,0,0.11101939123325878
1008,0,0.1105937137380497
1009,1,0.6134797510315189
1010,0,0.4715679453641583
1011,1,0.7563801880283139
1012,1,0.7553608579481329
1013,0,0.11066330799571235
1014,1,0.9143418662852506
1015,0,0.11063679137731122
1016,0,0.11066330799571235
1017,1,0.6014797166340256
1018,0,0.11066573719613616
1019,1,0.602402991410185
1020,0,0.20339830055215116
1021,0,0.11067922063758091
1022,0,0.11067922063758091
1023,0,0.46529562990462725
1024,1,0.6026890847912483
1025,0,0.1105937137380497
1026,0,0.11067104128945139
1027,0,0.11066883475959509
1028,0,0.11063546569244072
1029,0,0.20339830055215116
1030,1,0.6004393613106467
1031,0,0.11275689716653939
1032,1,0.6054516787010187
1033,1,0.8717545810983223
1034,1,0.5148489076036518
1035,0,0.20453581612692565
1036,0,0.3448124791134815
1037,0,0.11120812604108467
1038,0,0.46842942015035677
1039,0,0.11067922063758091
1040,0,0.3448124791134815
1041,0,0.20453581612692565
1042,1,0.9213077869232891
1043,0,0.11067104128945139
1044,0,0.11101939123325878
1045,1,0.600973649144931
1046,0,0.11192324445263542
1047,0,0.11065270068067647
1048,1,0.9210164920338921
1049,1,0.6004140454334235
1050,0,0.46503418193243345
1051,1,0.6011793349965471
1052,1,0.6003984134517422
1053,0,0.11106150196811068
1054,1,0.7551367169915879
1055,0,0.11062353515448803
1056,0,0.20339830055215116
1057,1,0.6022448595062756
1058,0,0.4682460232403008
1059,0,0.11208337488978823
1060,1,0.864106932317083
1061,1,0.6005573355279975
1062,0,0.11065270068067647
1063,0,0.11063546569244072
1064,0,0.11098991777927643
1065,0,0.1106356884065269
1066,0,0.11192324445263542
1067,1,0.7576688493417588
1068,1,0.7574461439702773
1069,0,0.4689097518156176
1070,1,0.907662608383078
1071,1,0.9154082484324322
1072,0,0.20339830055215116
1073,0,0.47263122622301856
1074,1,0.8795774474980486
1075,0,0.11066330799571235
1076,1,0.8882664668663962
1077,0,0.2036603853647933
1078,1,0.7558833138132302
1079,0,0.11067922063758091
1080,1,0.6083637880765917
